,date,open,high,low,close,adj close,volume,close_delta,rolling_std,daily_k_stds,event_flag,return,net_return
242,2015-03-06,8.11,8.25,8.03,8.15,8.15,12400,0.014943960149439661,0.031144048006481833,0.47983358317227937,0,0.0,-0.0
243,2015-03-09,8.21,8.22,7.78,7.85,7.85,12000,-0.036809815950920366,0.03233581459391878,-1.1383605581979985,0,0.0,-0.0
244,2015-03-10,7.8,7.82,7.6,7.62,7.62,15500,-0.029299363057324834,0.0337440742438909,-0.8682817269058509,0,0.0,-0.0
245,2015-03-11,7.65,7.65,7.3,7.54,7.54,160500,-0.01049868766404205,0.029773147236158204,-0.35262270329593665,0,0.0,-0.0
246,2015-03-12,7.46,8.22,7.37,7.51,7.51,13800,-0.003978779840848823,0.021934409993704967,-0.18139443194463434,0,0.0,-0.0
247,2015-03-13,7.6,7.9,7.48,7.77,7.77,22600,0.03462050599201061,0.02436049664712907,1.42117406280757,0,0.0,-0.0
248,2015-03-16,7.7,7.85,7.475,7.5,7.5,20100,-0.03474903474903468,0.0268148710969435,-1.295886697474953,0,0.0,-0.0
249,2015-03-17,7.5,7.55,7.1,7.11,7.11,20400,-0.051999999999999935,0.031200439773775946,-1.6666431748089037,0,0.0,-0.0
250,2015-03-18,7.13,7.41,7.13,7.4,7.4,13200,0.04078762306610417,0.03204323930937283,1.2728932512816693,0,0.0,-0.0
251,2015-03-19,7.42,7.47,7.19,7.44,7.44,6400,0.00540540540540535,0.031364116219823844,0.17234362248628696,0,0.0,-0.0
252,2015-03-20,7.47,7.5,7.35,7.49,7.49,5000,0.006720430107526765,0.030823376038778598,0.21803030592988434,0,0.0,-0.0
253,2015-03-23,7.5,7.654,7.291,7.57,7.57,18100,0.010680907877169465,0.029518873829198086,0.36183317625771444,0,0.0,-0.0
254,2015-03-24,7.52,7.962,7.162,7.37,7.37,23100,-0.026420079260237816,0.029249160667871414,-0.9032764926228742,0,0.0,-0.0
255,2015-03-25,7.33,7.64,7.23,7.23,7.23,27300,-0.01899592944369055,0.029614196125369523,-0.641446735993531,0,0.0,-0.0
256,2015-03-26,7.15,7.5,7.1,7.21,7.21,32400,-0.0027662517289074318,0.02961583272200778,-0.09340448924307322,0,0.0,-0.0
257,2015-03-27,7.08,7.21,6.97,7.05,7.05,25600,-0.02219140083217752,0.02676608860513337,-0.8290864294576651,0,0.0,-0.0
258,2015-03-30,7.09,7.456,7.0,7.1,7.1,27700,0.007092198581560183,0.025599944898028543,0.27703960339798833,0,0.0,-0.0
259,2015-03-31,7.371,7.371,7.1,7.24,7.24,15900,0.019718309859154903,0.020575219702956307,0.9583523356653013,0,0.0,-0.0
260,2015-04-01,7.2,7.5,7.0,7.11,7.11,13500,-0.017955801104972413,0.016190185702856612,-1.1090546726591453,0,0.0,-0.0
261,2015-04-02,7.05,7.16,6.65,6.7,6.7,32700,-0.057665260196905765,0.023019438599044477,-2.5050680514554085,1,100.0,0.0
262,2015-04-06,6.7,6.7,6.52,6.7,6.7,16000,0.0,0.022564882846220897,0.0,0,0.0,-0.0
263,2015-04-07,6.6,6.6,6.5,6.52,6.52,17600,-0.0268656716417911,0.02169098070081963,-1.2385641761589847,0,0.0,-0.0
264,2015-04-08,6.5,7.0,6.36,6.39,6.39,26500,-0.019938650306748462,0.021393504936814793,-0.9319954988972957,0,0.0,-0.0
265,2015-04-09,6.45,6.726,6.45,6.6,6.6,14800,0.032863849765258246,0.02585639823745304,1.271014217194988,0,0.0,-0.0
266,2015-04-10,6.56,6.57,6.37,6.4,6.4,23400,-0.030303030303030165,0.026601443488335614,-1.1391498478764,0,0.0,-0.0
267,2015-04-13,6.48,6.555,6.13,6.3,6.3,22700,-0.01562500000000011,0.026389078812092195,-0.592101001753813,0,0.0,-0.0
268,2015-04-14,6.576,6.576,5.88,6.0,6.0,115100,-0.04761904761904756,0.02788109750650822,-1.7079330398644441,0,0.0,-0.0
269,2015-04-15,5.98,6.32,5.98,6.12,6.12,97200,0.020000000000000018,0.02792168769231135,0.716289080387763,0,0.0,-0.0
270,2015-04-16,6.3,6.36,6.12,6.32,6.32,7300,0.03267973856209161,0.03189838560230625,1.0244950628388187,0,0.0,-0.0
271,2015-04-17,6.24,6.41,6.18,6.4,6.4,13300,0.012658227848101333,0.02804732504788966,0.45131675931618886,0,0.0,-0.0
272,2015-04-20,6.5,6.99,6.43,6.71,6.71,64200,0.04843749999999991,0.03265946917094255,1.4831073875228575,0,0.0,-0.0
273,2015-04-21,6.81,6.98,6.71,6.8,6.8,24600,0.013412816691505292,0.03134931943730297,0.42785033079682117,0,0.0,-0.0
274,2015-04-22,6.81,7.32,6.75,7.11,7.11,25900,0.04558823529411771,0.03246555151446841,1.4042033222137353,0,0.0,-0.0
275,2015-04-23,7.2,7.2,6.98,7.01,7.01,5000,-0.01406469760900153,0.03237924165964681,-0.4343739040228945,0,0.0,-0.0
276,2015-04-24,6.98,7.01,6.71,6.73,6.73,16000,-0.0399429386590584,0.03371324494715193,-1.184784755121377,0,0.0,-0.0
277,2015-04-27,6.94,6.99,6.1,6.655,6.655,92900,-0.011144130757800963,0.033429077937236894,-0.33336638176871264,0,0.0,-0.0
278,2015-04-28,6.7,6.8,6.4,6.55,6.55,6700,-0.01577761081893314,0.028973871942642032,-0.544546163873686,0,0.0,-0.0
279,2015-04-29,6.55,6.89,6.37,6.54,6.54,19700,-0.0015267175572518665,0.028880581131377755,-0.052863117618957484,0,0.0,-0.0
280,2015-04-30,6.8,6.8,5.71,5.9,5.9,273300,-0.09785932721712531,0.04235713504684072,-2.3103386739662013,1,101.69491525423727,1.694915254237273
281,2015-05-01,5.89,6.11,5.89,6.0,6.0,19600,0.016949152542372836,0.04258849945550041,0.3979748701896049,0,0.0,-0.0
282,2015-05-04,6.33,6.33,5.76,5.76,5.76,18600,-0.040000000000000036,0.03916700781727705,-1.0212677002698058,0,0.0,-0.0
283,2015-05-05,5.85,6.15,5.76,6.15,6.15,19700,0.06770833333333348,0.04652822532964917,1.4552098828963442,0,0.0,-0.0
284,2015-05-06,6.06,6.17,5.69,5.69,5.69,20300,-0.0747967479674797,0.04640675927833675,-1.6117640863234282,0,0.0,-0.0
285,2015-05-07,5.79,5.88,5.68,5.88,5.88,23400,0.033391915641476144,0.04952190354168481,0.6742857857507167,0,0.0,-0.0
286,2015-05-08,5.874,5.94,5.7,5.92,5.92,22100,0.006802721088435382,0.049247655156913074,0.13813289316538066,0,0.0,-0.0
287,2015-05-11,5.95,5.95,5.7,5.7,5.7,20100,-0.03716216216216217,0.04990234120174224,-0.7446977690270117,0,0.0,-0.0
288,2015-05-12,5.65,5.65,5.55,5.56,5.56,25700,-0.024561403508772006,0.0500098569604636,-0.49113124894937343,0,0.0,-0.0
289,2015-05-13,5.57,5.603,5.55,5.57,5.57,6700,0.0017985611510793476,0.05012110869744135,0.03588430499286148,0,0.0,-0.0
290,2015-05-14,5.57,5.691,5.57,5.6,5.6,7000,0.0053859964093356805,0.04088764548442501,0.13172674399623532,0,0.0,-0.0
291,2015-05-15,5.63,5.71,5.569,5.58,5.58,17500,-0.0035714285714284477,0.04020365086071199,-0.0888334391272544,0,0.0,-0.0
292,2015-05-18,5.65,5.9,5.57,5.6,5.6,15000,0.0035842293906809264,0.0384946198230846,0.09310987891693691,0,0.0,-0.0
293,2015-05-19,5.6,5.6,5.51,5.54,5.54,13200,-0.010714285714285676,0.029657163886050688,-0.3612714201348553,0,0.0,-0.0
294,2015-05-20,5.56,5.56,5.22,5.34,5.34,89100,-0.036101083032491044,0.021724591189132388,-1.6617612142018312,0,0.0,-0.0
295,2015-05-21,5.4,5.42,5.22,5.28,5.28,20400,-0.011235955056179692,0.016712972979530255,-0.6722894286935834,0,0.0,-0.0
296,2015-05-22,5.298,5.97,5.04,5.15,5.15,185000,-0.024621212121212155,0.01602192870075195,-1.536719616038275,0,0.0,-0.0
297,2015-05-26,5.15,5.22,5.0,5.01,5.01,49100,-0.027184466019417597,0.014651957480085725,-1.8553470453600134,0,0.0,-0.0
298,2015-05-27,5.0,5.45,5.0,5.45,5.45,60400,0.08782435129740529,0.034381008570038236,2.554443716172449,0,0.0,-0.0
299,2015-05-28,5.57,6.0,5.17,5.86,5.86,37600,0.07522935779816509,0.042128600052497286,1.7857075170886354,0,0.0,-0.0
300,2015-05-29,5.77,5.9,5.75,5.86,5.86,9000,0.0,0.042169735940515644,0.0,0,0.0,-0.0
301,2015-06-01,5.879,5.879,5.5,5.5,5.5,8300,-0.061433447098976135,0.047195637242420915,-1.3016763982531383,0,0.0,-0.0
302,2015-06-02,5.53,5.86,5.1,5.4,5.4,37600,-0.018181818181818077,0.04748912852037528,-0.3828627466603675,0,0.0,-0.0
303,2015-06-03,5.5,5.64,5.38,5.4,5.4,18500,0.0,0.047407561087527327,0.0,0,0.0,-0.0
304,2015-06-04,5.44,5.59,5.44,5.44,5.44,11200,0.007407407407407307,0.045857542801346476,0.16153083996445203,0,0.0,-0.0
305,2015-06-05,5.59,5.72,5.4,5.44,5.44,50800,0.0,0.045612955448288445,0.0,0,0.0,-0.0
306,2015-06-08,5.48,5.735,5.45,5.615,5.615,19600,0.032169117647058876,0.04520028069013048,0.7117017229957828,0,0.0,-0.0
307,2015-06-09,5.709,6.0,5.51,5.93,5.93,38500,0.056099732858414963,0.0453454813311342,1.237162584045544,0,0.0,-0.0
308,2015-06-10,5.96,6.46,5.88,6.35,6.35,72800,0.07082630691399672,0.04267342360987076,1.65972872393613,0,0.0,-0.0
309,2015-06-11,6.4,6.84,6.36,6.79,6.79,70200,0.06929133858267722,0.04179317784468066,1.6579581203465834,0,0.0,-0.0
310,2015-06-12,6.7,7.0,6.61,6.9,6.9,39800,0.016200294550809957,0.04143294989142445,0.3910002689468895,0,0.0,-0.0
311,2015-06-15,6.72,7.23,6.72,7.2,7.2,50100,0.04347826086956519,0.03135625842227003,1.3865895695860766,0,0.0,-0.0
312,2015-06-16,7.19,7.19,6.78,6.88,6.88,24000,-0.04444444444444451,0.03633359043983699,-1.223232934219311,0,0.0,-0.0
313,2015-06-17,6.84,7.17,6.81,7.15,7.15,31600,0.03924418604651159,0.03542909296196833,1.1076824938374406,0,0.0,-0.0
314,2015-06-18,7.17,7.17,6.86,6.91,6.91,7200,-0.03356643356643363,0.04024873947280997,-0.8339747779954557,0,0.0,-0.0
